Registro;Nombre;Fecha Registro;Empresa;Principio Activo;Control Legal
F-7772/21;AB ANTISÉPTICO BUCAL SABOR LIMÓN COMPRIMIDOS MASTICABLES 5 mg;25/05/2001;LABORATORIOS SAVAL S.A.;CLORHEXIDINA;
F-9562/21;AB ANTITUSIVO COMPRIMIDOS MASTICABLES;8/11/1990;LABORATORIOS SAVAL S.A.;CLORHEXIDINA//NOSCAPINA;
F-7773/21;AB ANTITUSIVO SABOR MIEL COMPRIMIDOS MASTICABLES;25/05/2001;LABORATORIOS SAVAL S.A.;CLORHEXIDINA//NOSCAPINA;
N-56/21;ABRILAR JARABE 35 mg/5 mL;21/08/2001;MEGALABS CHILE S.A.;;
N-414/20;ACEITE CALÉNDULA - MANZANILLA SOLUCIÓN OLEOSA;22/08/1989;KNOP LABORATORIOS S.A.;;
N-193/21;ACEITE DE ÁRNICA SOLUCIÓN OLEOSA;21/02/1990;KNOP LABORATORIOS S.A.;;
N-475/19;ACEITE DE RICINO PURO;15/05/1978;LABORATORIO VALMA SPA;;
N-476/19;ACEITE DE RICINO SABOR A FRUTILLA;15/05/1978;LABORATORIO VALMA SPA;;
N-65/19;ACEITE DE RICINO SABOR A MENTA;15/05/1978;LABORATORIO VALMA SPA;;
F-26617/22;ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 100 mg;1/02/2022;LABORATORIO CHILE S.A.;ACIDO ACETILSALICILICO;
F-25681/20;Ácido Acetilsalicílico Comprimidos 100 mg;9/09/2020;OPKO CHILE S.A.;ACIDO ACETILSALICILICO;
F-1444/18;ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 100 mg;9/12/1958;MINTLAB Co. S.A.;ACIDO ACETILSALICILICO;
F-26254/21;ÁCIDO ACETILSALICÍLICO COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 100 mg;6/07/2021;MDC HEALTH S.p.A.;ACIDO ACETILSALICILICO;
F-6406/20;ÁCIDO ACETILSALICÍLICO COMPRIMIDOS MASTICABLES 100 mg;28/06/1985;LABORATORIO PASTEUR S.A.;ACIDO ACETILSALICILICO;
F-1308/18;ÁCIDO DEHIDROCÓLICO COMPRIMIDOS 250 mg;12/11/1969;LABORATORIO CHILE S.A.;ACIDO DEHIDROCOLICO;
H-787/20;ACIDUM PHOSPHORICUM D6 COMPRIMIDOS;17/03/1987;KNOP LABORATORIOS S.A.;;
H-1157/19;ACIDUM PHOSPHORICUM D6 GLÓBULOS;21/09/2009;LABORATORIOS BIOSPHARE S.A.;;
F-17842/20;ACIFIN COMPRIMIDOS MASTICABLES;1/02/2010;MINTLAB Co. S.A.;MAGALDRATO//SIMETICONA;
F-22015/20;ACIFREE LIMÓN POLVO EFERVESCENTE;22/07/2015;MINTLAB Co. S.A.;ACIDO CITRICO//BICARBONATO SODICO//SODIO CARBONATO;
H-770/20;ACONITUM D6 COMPRIMIDOS;2/12/1986;KNOP LABORATORIOS S.A.;Aconitum D6;
H-767/20;ACTAEA RACEMOSA D6 COMPRIMIDOS;20/03/1987;KNOP LABORATORIOS S.A.;;
H-1290/21;ACTILOBA COMPRIMIDOS SUBLINGUALES (GINKGO BILOBA D4);23/11/2021;KNOP LABORATORIOS S.A.;GINKGO BILOBA D4;
F-26574/22;ADOLEX PLUS COMPRIMIDOS DE DISOLUCIÓN BUCAL;4/01/2022;EUROFARMA CHILE S.A.;ALANTOINA//CETILPIRIDINIO CLORURO//NOSCAPINA;
F-13981/19;ADOLEX PLUS COMPRIMIDOS DE DISOLUCIÓN BUCAL;16/07/2004;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;ALANTOINA//CETILPIRIDINIO CLORURO//NOSCAPINA;
H-1004/21;ADONIS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;2/08/1990;KNOP LABORATORIOS S.A.;;
H-1229/22;ADRISIN COMPRIMIDOS SUBLINGUALES;2/02/2017;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;
F-25199/19;ADVANCED ANTIBACTERIAL CLEAN & SMOOTH JABÓN LÍQUIDO 0,5% (CLORURO DE BENZALCONIO);27/12/2019;ECOLAB S.A.;BENZALCONIO CLORURO;
N-630/21;AEROMED JARABE 35 mg/5 mL;20/10/2020;EUROFARMA CHILE S.A.;"HEDERA HELIX L.(HIEDRA);EXTRACTO SECO ESTANDARIZADO DE HOJAS (5 - 7;5:1)";
N-427/21;AEROMED JARABE 35 mg/5 mL;26/01/2006;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;;
H-761/20;AESCULUS UNGÜENTO TÓPICO;24/03/1988;KNOP LABORATORIOS S.A.;;
F-20252/18;AFTAGEL GEL TÓPICO BUCAL;28/08/2013;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;BENZOCAINA//CETILPIRIDINIO CLORURO;
F-13887/19;AGUA BIDESTILADA SOLUCIÓN INYECTABLE;18/06/2004;LABORATORIO SANDERSON S.A.;AGUA INYECTABLE;
F-1193/18;AGUA DEL CARMEN SOLUCIÓN ORAL;25/02/1942;LABORATORIO PASTEUR S.A.;ESENCIA DE CANELA//ESENCIA DE CLAVO//ESENCIA DE LIMON//ESENCIA DE MELISA//ESENCIA DE MENTA//ESENCIA DE ROMERO;
F-21330/19;AGUA ESTÉRIL PARA INYECTABLE;25/08/2014;SCM PHARMA S.p.A.;AGUA INYECTABLE;
F-19972/18;AGUA ESTÉRIL PARA INYECTABLES;28/05/2013;B. BRAUN MEDICAL SpA;AGUA INYECTABLE;
F-15116/20;AGUA ESTÉRIL PARA INYECTABLES;14/09/2005;OPKO CHILE S.A.;AGUA INYECTABLE;
F-14620/20;AGUA ESTÉRIL PARA INYECTABLES;23/02/2005;LABORATORIO BIOSANO S.A.;AGUA INYECTABLE;
F-18575/21;AGUA PARA INYECTABLES;8/04/2011;LABORATORIO BIOSANO S.A.;AGUA INYECTABLE;
